순위,소환사,티어,LP,레벨,모스트 챔피언,승률
1,"Alpha Smoker
#420",challenger,"1,992",104,"이즈리얼, 칼리스타, 애쉬","211승
151패
58%"
2,"never type
#1998",challenger,"1,965",370,"리븐, 베인, 제이스","140승
82패
63%"
3,"dmoney
#401K",challenger,"1,929",98,"파이크, 아크샨, 사일러스","241승
157패
61%"
4,"Pentaless
#penta",challenger,"1,920",515,"누누와 윌럼프, 마오카이, 스카너","205승
143패
59%"
5,"dusklol
#000",challenger,"1,840",392,"키아나, 카직스, 릴리아","169승
117패
59%"
6,"Zamudo
#1031",challenger,"1,801",130,"제이스, 갱플랭크, 피오라","124승
69패
64%"
7,"ToastyAlex
#NA1",challenger,"1,724",890,"암베사, 요네, 제이스","155승
113패
58%"
8,"Mr Dude
#00001",challenger,"1,692",482,"판테온, 렐, 바드","172승
120패
59%"
9,"Cupic
#Hwei",challenger,"1,650",547,"럭스, 흐웨이, 세라핀","138승
86패
62%"
10,"Will
#NA12",challenger,"1,639",930,"탈리야, 바이, 니달리","170승
132패
56%"
11,"ARMAO
#NA1",challenger,"1,620",440,"리 신, 볼리베어, 엘리스","278승
231패
55%"
12,"Hub1012345
#NA1",challenger,"1,594",795,"코르키, 애니비아, 이즈리얼","155승
109패
59%"
13,"blackpanther
#ruin",challenger,"1,589",111,"스카너, 자이라, 니달리","140승
92패
60%"
14,"DARKWINGS
#NA3",challenger,"1,582",658,"빅토르, 신드라, 흐웨이","177승
136패
57%"
15,"yukino cat
#cat",challenger,"1,576",775,"오공, 럼블, 바이","151승
112패
57%"
16,"C9 Loki
#kr3",challenger,"1,572",59,"사일러스, 아지르, 요네","186승
118패
61%"
17,"Sushee
#NA1",challenger,"1,568","1,284","베인, 이즈리얼, 트리스타나","240승
197패
55%"
18,"Afflictive
#藍月なくる",challenger,"1,521",498,"아크샨, 노틸러스, 소라카","146승
109패
57%"
19,"KDKD
#9999",challenger,"1,511",629,"노틸러스, 판테온, 레오나","279승
238패
54%"
20,"kisno
#NA1",challenger,"1,473",676,"판테온, 킨드레드, 그웬","248승
211패
54%"
21,"SnowyStepZ
#Saiko",challenger,"1,473",907,"트리스타나, 이즈리얼, 카이사","176승
139패
56%"
22,"perryjg
#quack",challenger,"1,459",69,"볼리베어, 자르반 4세, 비에고","122승
69패
64%"
23,"stupid donut
#YEAH",challenger,"1,450",79,"암베사, 사일러스, 이즈리얼","140승
76패
65%"
24,"Tkt
#NA33",challenger,"1,434",220,"칼리스타, 이즈리얼, 카이사","182승
128패
59%"
25,"ASTROBOY99
#NA1",challenger,"1,380",471,"탈리야, 니달리, 다리우스","145승
118패
55%"
26,"Fudgecakey
#5811",challenger,"1,366",792,"암베사, 제이스, 퀸","149승
123패
55%"
27,"Kzykendy
#NA1",challenger,"1,353",814,"아지르, 아리, 가렌","292승
252패
54%"
28,"Denathor
#NA1",challenger,"1,350",566,"제이스, 오로라, 카밀","130승
94패
58%"
29,"STEPZ
#NA99",challenger,"1,347",198,"다이애나, 암베사, 바이","254승
218패
54%"
30,"Cozy
#0122",challenger,"1,347",400,"제이스, 아칼리, 카밀","136승
106패
56%"
31,"江多宝
#0409",challenger,"1,341",242,"비에고, 그레이브즈, 코르키","123승
94패
57%"
32,"kurfyou
#hamz",challenger,"1,320",143,"질리언, 징크스, 엘리스","252승
193패
57%"
33,"chaechae1
#lmao",challenger,"1,311",122,"렝가, 볼리베어, 니달리","124승
71패
64%"
34,"Yuuji
#247",challenger,"1,301",408,"암베사, 바이, 엘리스","117승
82패
59%"
35,"Dusk to Dawn
#god",challenger,"1,292",122,"신드라, 소나, 세라핀","206승
180패
53%"
36,"搞事就报警把你妈妈捉走
#2694",challenger,"1,278",223,"빅토르, 오리아나, 나르","160승
110패
59%"
37,"그어살
#777",challenger,"1,269",146,"비에고, 니달리, 킨드레드","118승
68패
63%"
38,"tytytytyh
#hty",challenger,"1,267",627,"제이스, 사일러스, 크산테","245승
209패
54%"
39,"Z5 Keii
#606",challenger,"1,262",355,"가렌, 잭스, 암베사","322승
306패
51%"
40,"Cryogenn
#Tay",challenger,"1,249",842,"엘리스, 렐, 노틸러스","186승
154패
55%"
41,"Yozu
#Lux",challenger,"1,246",882,"럭스, 멜, 흐웨이","111승
81패
58%"
42,"philip
#ouo",challenger,"1,242",683,"리 신, 제이스, 판테온","198승
173패
53%"
43,"InoriB
#2005",challenger,"1,234",263,"애쉬, 바루스, 코르키","183승
159패
54%"
44,"quante
#urgot",challenger,"1,226",219,"우르곳, 가렌, 문도 박사","276승
254패
52%"
45,"Shimmer
#NA1",challenger,"1,222",863,"판테온, 워윅, 다리우스","145승
104패
58%"
46,"Nikkone
#NA1",challenger,"1,220",812,"피들스틱, 헤카림, 블라디미르","123승
99패
55%"
47,"gg wtf
#neeko",challenger,"1,219",588,"니코, 베인, 말파이트","123승
78패
61%"
48,"HLE PEANUT
#0216",challenger,"1,219",117,"니달리, 그레이브즈, 헤카림","199승
171패
54%"
49,"Humble Servant
#God",challenger,"1,213",937,"아크샨, 스웨인, 그라가스","181승
138패
57%"
50,"RoseThorn
#Rose",challenger,"1,210",773,"볼리베어, 바이, 엘리스","100승
67패
60%"
