,제목,내용,언론사,작성시간,링크
0,'챗GPT 성격' 사용자가 직접 정할 수 있다,"챗GPT 성격 사용자가 직접 정할 수 있다, 톡톡 AI 한 스푼 수다쟁이·재간둥이·Z세대 등 나만의 AI 스타일 설정 가능.",한국경제,2025. 1. 19.,https://www.hankyung.com/article/2025011956821
1,"챗GPT 커스텀 인스트럭션, 프롬프트 엔지니어링 26","240615 커스텀 인스트럭션, 프롬프트 엔지니어링 26가지 기법 분석. Oh, Yes! 오늘 성공! / 활력 넘쳤다! /감사합니다! ""더 나은 답변을 제공하기 위해 챗GPT가 귀하에...",브런치스토리,2024. 6. 15.,https://brunch.co.kr/@@fEAg/507
2,[Behind the CHIP] 누구나 손쉽게 만들 수 있는 나만의 AI 비서 시대 – 삼성전자 반도체 뉴스룸,과거에 인공지능은 기술적인 장벽과 비용의 문제로 인해 대기업이나 연구소에서만 접근할 수 있는 도구였다. 하지만 오늘날 AI는 더 이상 전문 개발자...,SamsungSemiconStory,2025. 1. 7.,https://news.samsungsemiconductor.com/kr/behind-the-chip-%EB%88%84%EA%B5%AC%EB%82%98-%EC%86%90%EC%89%BD%EA%B2%8C-%EB%A7%8C%EB%93%A4-%EC%88%98-%EC%9E%88%EB%8A%94-%EB%82%98%EB%A7%8C%EC%9D%98-ai-%EB%B9%84%EC%84%9C-%EC%8B%9C%EB%8C%80/
3,"AI 비전팩토리, 업무용 커스텀 GPT 서비스 '지피티스코리아' 출시",[디지털투데이 석대건 기자] AI 비전팩토리가 기업 업무용 커스텀 GPT 서비스 '지피티스코리아(GPTs KOREA)'를 정식 오픈했다고 20일 밝혔다.,디지털투데이,2024. 8. 20.,https://www.digitaltoday.co.kr/news/articleView.html?idxno=530215
4,"부산디지털혁신네트워크, Chat GPT 과정 개설로 AI 활용 능력 강화",부산디지털혁신네트워크가 지역의 디지털 전환을 선도하기 위해 마련한 'ChatGPT 실무 아카데미'가 큰 주목을 받았다.이 교육 과정은 부산의...,아주경제,2024. 10. 28.,https://www.ajunews.com/view/20241028143519877
5,[이모작테크@창업도우미 AI②] 챗gpt를 활용한 시장분석·창업아이템 개발,가히 AI 열풍이다. 그런데 AI는 첨단 트렌드에 민감한 얼리 어답터만의 전유물이 아니다. 오히려 세대를 아울러 누구나 쉽고 편하게 쓸 수 있는 도구...,이모작뉴스,2024. 9. 30.,http://www.emozak.co.kr/news/articleView.html?idxno=11916
6,[인터뷰] “AI는 개인 변호사의 무기” - ‘AI변호사 with 챗GPT’ 저자 김덕은 법무법인 민주로 대표,"""변호사들이 변화에 적응하고 대비하는 것은 단순 생존 차원의 문제가 아닙니다. 법률 서비스의 질을 높이고, 의뢰인들에게 더 나은 법적 조언과 지원...",법률신문,2024. 8. 10.,https://www.lawtimes.co.kr/news/200476
7,GPT-4o와 무료로 오픈된 GPTs 제작법,"나만의 똑똑한 챗GPT를 만들어보자! | GPTs란? 왜 만들어 보아야 할까? 최근, 새로운 모델 GPT-4o(지피티 - 포오입니다. 포 제로가 아님. 읽는 법이 꽤나 귀엽습니다.)",브런치스토리,2024. 6. 4.,https://brunch.co.kr/@ericpm/11
8,"마음AI, 사내 챗GPT 대체 가능한 온프레미스 LLM 패키지 출시","로봇신문사 모바일 모바일 사이트, 기사 상세페이지, 인공지능 전문기업 마음AI(대표 유태준)는 MAAL-알바트로스 모델, 태스크(Task) UI,...",로봇신문사,2024. 5. 31.,http://www.irobotnews.com/news/articleView.html?idxno=35068
9,"오픈AI의 새로운 GPT 스토어, 데이터 보안 문제 해결했을까?",챗GPT 생태계에 애플리케이션 스토어가 새롭게 생겼다. 그런데 여기서 여러 가지 문제가 발생할 수 있다는 지적이 나오고 있다. 초기 GPT 모델들은...,보안뉴스,2024. 1. 13.,http://www.boannews.com/media/view.asp?idx=125727
