,제목,저자,태그,링크,초록
0,[Book] 수학이 만든 생성형 AI의 성장 외,김병수,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12115741,
1,생성형 AI를 활용한 실습 중심 소프트웨어 공학 교육 모델,황선희,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12115583,
2,"생성형 AI, 혁신·효율성↑↑지만 보안 위협도↑↑… 민감 데이터 유출 위험 심각",이광재,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12086972,
3,"생성형 AI, 혁신·효율성↑↑지만 보안 위협도↑↑… 민감 데이터 유출 위험 심각 : 이스트시큐리티, LLM 사용 현황·인식 관련 기업 보안 담당자 설문 결과 발표",이광재,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12087212,
4,"생성형 AI_연이어 탄생하는 생성형 AI 서비스, 국내 흐름은?",서재창,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12101262,
5,"AI3 표철민 대표 : “한국형 생성형 AI 시대, 웍스AI가 앞장선다”","김재황, 구서경",,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12101295,
6,생성형 인공지능의 연령별 등급제한 필요성과 기준 제안,"이대희, 안성진",,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12115582,
7,자연언어에서 형식언어로의 변환: 대학의 프로그래밍 교육 방법 제안,"권오영, 박은진",,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12115578,
8,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법이 나아가야 할 방향 : 저작자, 저작물의 보호와 관련된 관점에서",박희경,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12109630,
9,A Diffusion-based Trajectory Prediction Model for Flight Vehicles Considering Pull-up Maneuvers,"이성균, 강준성, 염제윤 외 3명",,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12109169,
10,디지털 전환기 생성형 인공지능을 활용한 예술 창작의 지속가능성 연구,신정원,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12101147,
11,"생성형AI, 여전히 산적한 과제",Saeed Elnaj,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12085125,
12,"생성형 AI 저작물, 저작권 인정될까?...美 저작권청, 'AI와 저작권 제2판' 발표",이성용,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12102713,
13,생성형 AI 시대 활짝… 국내 기술 어디까지 왔나 : 정부 투자와 인력 확보 절실,이정은,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12085097,
