,동정보,가격,매물정보
0,동광모닝스카이1차 102동,"전세4억 2,000","아파트104/84m², 1/10층, 남향
고강1동 동광모닝스카이아파트1차 1층 방3 화2 넓은거실"
1,동광모닝스카이1차 103동,"매매5억 3,000","아파트104/84m², 4/10층, 남향
동광모닝스카이1차"
2,동광모닝스카이1차 102동,"매매4억 9,500~5억","아파트104/84m², 1/10층, 남향"
3,동광모닝스카이1차 101동,"매매5억 4,000","아파트104/84m², 3/8층, 남향
구조좋고 기반시설좋은 아파트입니다."
4,동광모닝스카이1차 102동,"전세4억 9,000","아파트104/84m², 2/10층, 남향
고강1동 동광모닝스카이1차아파트2층 방3 화2 거실"
5,동광모닝스카이1차 102동,"매매4억 7,900","아파트104/84m², 1/10층, 남향
기반시설,구조좋은 아파트입니다."
6,동광모닝스카이1차 104동,매매5억,"아파트104/84m², 1/8층, 남향
기반시설좋은 깨끗한 아파트입니다."
7,동광모닝스카이1차 102동,"매매5억 2,000","아파트104/84m², 2/10층, 남향
고강1동 동광모닝스카이1차아파트2층 방3 욕2 넓은거실"
8,동광모닝스카이1차 102동,"월세5,000/140","아파트104/84m², 2/10층, 남향
고강1동 동광모닝스카이1차아파트2층 방3 욕2 거실"
9,동광모닝스카이1차 104동,매매5억,"아파트104/84m², 1/8층, 남향
깨끗한 기반시설 좋은 아파트입니다."
